id,subject,mohs,source,original_problem,adapted_problem,answer
122,Combinatorics,20M,USAMO 2020 P2,"An empty 2020 $\times$ 2020 $\times$ 2020 cube is given, and a 2020 $\times$ 2020 grid of square unit cells is drawn on each of its six faces. A beam is $a^1$ $\times$ 1 $\times$ 2020 rectangular prism. Several beams are placed inside the cube subject to the following conditions: - The two $1\times_1$ faces of each beam coincide with unit cells lying on opposite faces of the cube. (Hence, there are 3 $\cdot$ 20202 possible positions for a beam.) - No two beams have intersecting interiors. - The interiors of each of the four $1\times_2020$ faces of each beam touch either a face of the cube or the interior of the face of another beam. What is the smallest positive number of beams that can be placed to satisfy these conditions?","In a tournament with $10$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",1024
123,Combinatorics,20M,USAMO 2020 P4,"Suppose that ($a_1$, $b_1$), ($a_2$, $b_2$), $\ldots$ , ($a_100$, $b_100$) are distinct ordered pairs of nonnegative integers. Let N denote the number of pairs of integers (i, j) satisfying 1 $\le$ i $<$ j $\le$ 100 and |aibj - ajbi | $=$ 1. Determine the largest possible value of N over all possible choices of the 100 ordered pairs.","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
124,Combinatorics,20M,"USA TST 2020, P4","For a finite simple graph G, we define $G_0$ to be the graph on the same vertex set as G, where for any two vertices u $\ne$ v, the pair {u, v} is an edge of $G_0$ if and only if u and v have a common neighbor in G. Prove that if G is a finite simple graph which is isomorphic to ($G_0$ )$^0$ , then G is also isomorphic to $G_0$ .",How many ways to distribute $9$ identical balls into $4$ distinct boxes?,6561
125,Combinatorics,20M,"USA TSTST 2014, P5","Find the maximum number E such that the following holds: there is an edge-colored graph with 60 vertices and E edges, with each edge colored either red or blue, such that in that coloring, there is no monochromatic cycles of length 3 and no monochromatic cycles of length 5.",In how many ways can $10$ men and $3$ women be seated around a circular table such that no two women are adjacent?,43002
126,Combinatorics,20M,"USA TSTST 2016, P3","Decide whether or not there exists a nonconstant polynomial Q(x) with integer coefficients with the following property: for every positive integer n $>$ 2, the numbers Q(0), Q(1), Q(2), $\ldots$ , Q(n - 1) produce at most 0.499n distinct residues when taken modulo n.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
127,Combinatorics,25M,"IMO 2001, P3","Twenty-one girls and twenty-one boys took part in a math￾ematical competition. It turned out that each contestant solved at most six problems, and for each pair of a girl and a boy, there was at least one problem that was solved by both the girl and the boy. Show that there is a problem that was solved by at least three girls and at least three boys.","In a tournament with $15$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",32768
128,Combinatorics,25M,"IMO 2016, P6","There are n $\ge$ 2 line segments in the plane such that every two segments cross and no three segments meet at a point. Geoff has to choose an endpoint of each segment and place a frog on it facing the other endpoint. Then he will clap his hands n - 1 times. Every time he claps,each frog will immediately jump forward to the next intersection point on its segment. Frogs never change the direction of their jumps. Geoff wishes to place the frogs in such a way that no two of them will ever occupy the same intersection point at the same time. (a) Prove that Geoff can always fulfill his wish if n is odd. 31 (b) Prove that Geoff can never fulfill his wish if n is even.","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
129,Combinatorics,25M,USAMO 2002 P6,"I have an n $\times$ n sheet of stamps, from which I've been asked to tear out blocks of three adjacent stamps in a single row or column. (I can only tear along the perforations separating adjacent stamps, and each block must come out of the sheet in one piece.) Let b(n) be the smallest number of blocks I can tear out and make it impossible to tear out any more blocks. Prove that there are real constants c and d such that 1 7 $n^2$ - $c_n$ $\le$ b(n) $\le$ 1 5 $n^2$ + $d_n$ for all n $>$ 0.",How many ways to distribute $9$ identical balls into $3$ distinct boxes?,729
130,Combinatorics,25M,USAMO 2007 P4,"An animal with n cells is a connected figure consisting of n equal-sized cells. The figure below shows an 8-cell animal. A dinosaur is an animal with at least 2007 cells. It is said to be primitive it its cells cannot be partitioned into two or more dinosaurs. Find with proof the maximum number of cells in a primitive dinosaur. Note: Animals are also called polyominoes. They can be defined inductively. Two cells are adjacent if they share a complete edge. A single cell is an animal, and given an animal with n cells, one with n + 1 cells is obtained by adjoining a new cell by making it adjacent to one or more existing cells.",In how many ways can $9$ men and $4$ women be seated around a circular table such that no two women are adjacent?,37062
131,Combinatorics,25M,USAMO 2008 P5,"Three nonnegative real numbers $r_1$, $r_2$, $r_3$ are written on a blackboard. These numbers have the property that there exist integers $a_1$, $a_2$, $a_3$, not all zero, satisfying $a_1r_1$ + $a_2r_2$ + $a_3r_3$ $=$ 0. We are permitted to perform the following operation: find two numbers x, y on the blackboard with x $\le$ y, then erase y and write y - x in its place. Prove that after a finite number of such operations, we can end up with at least one 0 on the blackboard.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
132,Combinatorics,25M,USAMO 2009 P2,"Let n be a positive integer. Determine the size of the largest subset of {-n, -n + 1, $\ldots$ , n - 1, n} which does not contain three elements a, b, c (not necessarily distinct) satisfying a + b + c $=$ 0.","In a tournament with $12$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",4096
133,Combinatorics,25M,USAMO 2012 P2,"A circle is divided into 432 congruent arcs by 432 points. The points are colored in four colors such that some 108 points are colored Red, some 108 points are colored Green, some 108 points are colored Blue, and the remaining 108 points are colored Yellow. Prove that one can choose three points of each color in such a way that the four triangles formed by the chosen points of the same color are congruent.","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
134,Combinatorics,25M,USAMO 2013 P2,"For a positive integer n $\ge$ 3 plot n equally spaced points around a circle. Label one of them A, and place a marker at A. One may move the marker forward in a clockwise direction to either the next point or the point after that. Hence there are a total of 2n distinct moves available; two from each point. Let an count the number of ways to advance around the circle exactly twice, beginning and ending at A, without repeating a move. Prove that an-1 + an $=$ 2n for all n $\ge$ 4.",How many ways to distribute $9$ identical balls into $5$ distinct boxes?,59049
135,Combinatorics,25M,USAMO 2015 P3,"Let S $=$ {1, 2, $\ldots$ , n}, where n $\ge$ 1. Each of the 2 n subsets of S is to be colored red or blue. (The subset itself is assigned a color and not its individual elements.) For any set T $\subseteq$ S, we then write f(T) for the number of subsets of T that are blue. Determine the number of colorings that satisfy the following condition: for any subsets $T_1$ and $T_2$ of S, f($T_1$)f($T_2$) $=$ f($T_1$ $\cup$ $T_2$)f($T_1$ $\cap$ $T_2$).",In how many ways can $8$ men and $5$ women be seated around a circular table such that no two women are adjacent?,7168
136,Combinatorics,25M,"USA TST 2015, P3","A physicist encounters 2015 atoms called usamons. Each usamon either has one electron or zero electrons, and the physicist can't tell the difference. The physicist's only tool is a diode. The physicist may connect the diode from any usamon A to any other usamon B. (This connection is directed.) When she does so, if usamon A has an electron and usamon B does not, then the electron jumps from A to B. In any other case, nothing happens. In addition, the physicist cannot tell whether an electron jumps during any given step. The physicist's goal is to isolate two usamons 33 that she is sure are currently in the same state. Is there any series of diode usage that makes this possible?",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
137,Combinatorics,25M,"USA TSTST 2016, P5","n the coordinate plane are finitely many walls; which are disjoint line segments, none of which are parallel to either axis. A bull￾dozer starts at an arbitrary point and moves in the +x direction. Every time it hits a wall, it turns at a right angle to its path, away from the wall, and continues moving. (Thus the bulldozer always moves parallel to the axes.) Prove that it is impossible for the bulldozer to hit both sides of every wall.","In a tournament with $9$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",512
138,Combinatorics,25M,"USA TSTST 2018, P7","Let n be a positive integer. A frog starts on the number line at 0. Suppose it makes a finite sequence of hops, subject to two conditions: - The frog visits only points in {1, 2, $\ldots$ , 2 n - 1}, each at most once. - The length of each hop is in {2 0 , 2 1 , 2 2 , $\ldots$ }. (The hops may be either direction, left or right.) Let S be the sum of the (positive) lengths of all hops in the sequence. What is the maximum possible value of S?","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
139,Combinatorics,30M,"IMO 2006, P2","Let P be a regular 2006-gon. A diagonal is called good if its endpoints divide the boundary of P into two parts, each composed of an odd number of sides of P. The sides of P are also called good. Suppose P has been dissected into triangles by 2003 diagonals, no two of which have a common point in the interior of P. Find the maximum num￾ber of isosceles triangles having two good sides that could appear in such a configuration.",How many ways to distribute $9$ identical balls into $4$ distinct boxes?,6561
140,Combinatorics,30M,"IMO 2014, P5","For each positive integer n, the Bank of Cape Town issues coins of denomination $\frac{1}{n}$ . Given a finite collection of such coins (of not necessarily different denominations) with total value at most most 99 + 1 2 , prove that it is possible to split this collection into 100 or fewer groups, such that each group has total value at most 1.",In how many ways can $7$ men and $2$ women be seated around a circular table such that no two women are adjacent?,1176
141,Combinatorics,30M,"2016, P2","Find all integers n for which each cell of n $\times$ n table can be filled with one of the letters I, M and O in such a way that: in each row and each column, one third of the entries are I, one third are M and one third are O; and in any diagonal, if the number of entries on the diagonal is a multiple of three, then one third of the entries are I, one third are M and one third are O. Note. The rows and columns of an $n\timesn$ table are each labelled 1 to n in a natural order. Thus each cell corresponds to a pair of positive integer (i, j) with 1 $\le$ i, j $\le$ n. For n $>$ 1, the table has 4n - 2 diagonals of two types. A diagonal of first type consists all cells (i, j) for which i + j is a constant, and the diagonal of this second type consists all cells (i, j) for which i - j is constant.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
142,Combinatorics,30M,USAMO 2020 P5,"A finite set S of points in the coordinate plane is called overdetermined if |S| $\ge$ 2 and there exists a nonzero polynomial P(t), with real coefficients and of degree at most |S| - 2, satisfying P(x) $=$ y for every point (x, y) $\in$ S. For each integer n $\ge$ 2, find the largest integer k (in terms of n) such that there exists a set of n distinct points that is not overdetermined, but has k overdetermined subsets.","In a tournament with $14$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",16384
143,Combinatorics,30M,"USA TST 2017, P4","You are cheating at a trivia contest. For each question, you can peek at each of the n $>$ 1 other contestants' guesses before writing down your own. For each question, after all guesses are submitted, the emcee announces the correct answer. A correct guess is worth 0 points. An incorrect guess is worth -2 points for other contestants, but only -1 point for you, since you hacked the scoring system. After announcing the correct answer, the emcee proceeds to read the next question. Show that if you are leading by 2 n-1 points at any time, then you can surely win first place.","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
144,Combinatorics,30M,"USA TST 2019, P5","Let n be a positive integer. Tasty and Stacy are given a circular necklace with 3n sapphire beads and 3n turquoise beads, such that no three consecutive beads have the same color. They play a cooperative game where they alternate turns removing three consecutive beads, subject to the following conditions: - Tasty must remove three consecutive beads which are turquoise, sap￾phire, and turquoise, in that order, on each of his turns. - Stacy must remove three consecutive beads which are sapphire, turquoise, 35 and sapphire, in that order, on each of her turns. They win if all the beads are removed in 2n turns. Prove that if they can win with Tasty going first, they can also win with Stacy going first.",How many ways to distribute $9$ identical balls into $3$ distinct boxes?,729
145,Combinatorics,35M,"IMO 2000, P3","Let n $\ge$ 2 be a positive integer and $\lambda$ a positive real number. Initially there are n fleas on a horizontal line, not all at the same point. We define a move as choosing two fleas at some points A and B, with A to the left of B, and letting the flea from A jump over the flea from B to the point C so that BC AB $=$ $\lambda$. Determine all values of $\lambda$ such that, for any point M on the line and for any initial position of the n fleas, there exists a sequence of moves that will take them all to the position right of M.",In how many ways can $6$ men and $3$ women be seated around a circular table such that no two women are adjacent?,29160
146,Combinatorics,35M,"IMO 2004, P3","Define a ""hook"" to be a figure made up of six unit squares as shown below in the picture, or any of the figures obtained by applying rotations and reflections to this figure. Determine all $m\timesn$ rectangles that can be covered without gaps and without overlaps with hooks such that - the rectangle is covered without gaps and without overlaps - no part of a hook covers area outside the rectangle.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
147,Combinatorics,35M,"IMO 2005, P6","In a mathematical competition, in which 6 problems were posed to the participants, every two of these problems were solved by more than 2 5 of the contestants. Moreover, no contestant solved all the 6 problems. Show that there are at least 2 contestants who solved exactly 5 problems each.","In a tournament with $11$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",2048
148,Combinatorics,35M,"IMO 2010, P5","Each of the six boxes $B_1$, $B_2$, $B_3$, $B_4$, $B_5$, $B_6$ initially contains one coin. The following operations are allowed 36 Type 1) Choose a non-empty box $B_j$ , 1 $\le$ j $\le$ 5, remove one coin from $B_j$ and add two coins to $B_j+1$; Type 2) Choose a non-empty box $B_k$, 1 $\le$ k $\le$ 4, remove one coin from $B_k$ and swap the contents (maybe empty) of the boxes $B_k+1$ and $B_k+2$. Determine if there exists a finite sequence of operations of the allowed types, such that the five boxes $B_1$, $B_2$, $B_3$, $B_4$, $B_5$ become empty, while box $B_6$ contains exactly 201020102010 coins.","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
149,Combinatorics,35M,"IMO 2014, P6","A set of lines in the plane is in general position if no two are parallel and no three pass through the same point. A set of lines in general position cuts the plane into regions, some of which have finite area; we call these its finite regions. Prove that for all sufficiently large n, in any set of n lines in general position it is possible to colour at least $\sqrt$ n lines blue in such a way that none of its finite regions has a completely blue boundary. Note: Results with $\sqrt$ n replaced by c $\sqrt$ n will be awarded points depending on the value of the constant c.",How many ways to distribute $9$ identical balls into $5$ distinct boxes?,59049
150,Combinatorics,35M,"IMO 2017, P5","An integer N $\ge$ 2 is given. A collection of N(N + 1) soccer players, no two of whom are of the same height, stand in a row. Sir Alex wants to remove N(N - 1) players from this row leaving a new row of 2N players in which the following N conditions hold: (1) no one stands between the two tallest players, (2) no one stands between the third and fourth tallest players, $\ldots$ (N) no one stands between the two shortest players. Show that this is always possible.",In how many ways can $5$ men and $4$ women be seated around a circular table such that no two women are adjacent?,40006
151,Combinatorics,35M,USAMO 2001 P6,"Each point in the plane is assigned a real number such that, for any triangle, the number at the center of its inscribed circle is equal to the arithmetic mean of the three numbers at its vertices. Prove that all points in the plane are assigned the same number.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
152,Combinatorics,35M,USAMO 2003 P6,"At the vertices of a regular hexagon are written six non￾negative integers whose sum is 20032003. Bert is allowed to make moves of 37 the following form: he may pick a vertex and replace the number written there by the absolute value of the difference between the numbers written at the two neighboring vertices. Prove that Bert can make a sequence of moves, after which the number 0 appears at all six vertices.","In a tournament with $8$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",256
153,Combinatorics,35M,USAMO 2004 P3,"For what real values of k $>$ 0 is it possible to dissect $a^1$ $\times$ k rectangle into two similar, but noncongruent, polygons?","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
154,Combinatorics,35M,USAMO 2006 P5,"A mathematical frog jumps along the number line. The frog starts at 1, and jumps according to the following rule: if the frog is at integer n, then it can jump either to n + 1 or to n + 2mn+1 where 2 $m_n$ is the largest power of 2 that is a factor of n. Show that if k $\ge$ 2 is a positive integer and i is a nonnegative integer, then the minimum number of jumps needed to reach 2 $i_k$ is greater than the minimum number of jumps needed to reach 2 i .",How many ways to distribute $9$ identical balls into $4$ distinct boxes?,6561
155,Combinatorics,35M,USAMO 2007 P3,"Let S be a set containing $n^2$ + n - 1 elements, for some positive integer n. Suppose that the n-element subsets of S are partitioned into two classes. Prove that there are at least n pairwise disjoint sets in the same class.",In how many ways can $10$ men and $5$ women be seated around a circular table such that no two women are adjacent?,28125
156,Combinatorics,35M,USAMO 2008 P3,"Let n be a positive integer. Denote by $S_n$ the set of points (x, y) with integer coordinates such that |x| + y + 1 2 $<$ n. A path is a sequence of distinct points ($x_1$, $y_1$),($x_2$, $y_2$), $\ldots$ ,(x` , y`) in $S_n$ such that, for i $=$ 2, $\ldots$ , `, the distance between ($x_i$ , $y_i$) and ($x_i-1$, $y_i-1$) is 1 (in other words, the points ($x_i$ , $y_i$) and ($x_i-1$, $y_i-1$) are neighbors in the lattice of points with integer coordinates). Prove that the points in $S_n$ cannot be partitioned into fewer than n paths (a partition of $S_n$ into m paths is a set P of m nonempty paths such that each point in $S_n$ appears in exactly one of the m paths in P).",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
157,Combinatorics,35M,"USA TST 2014, P3","Let n be an even positive integer, and let G be an n-vertex graph with exactly $n_{4}^{2}$ edges, where there are no loops or multiple edges (each unordered pair of distinct vertices is joined by either 0 or 1 edge). 38 An unordered pair of distinct vertices {x, y} is said to be amicable if they have a common neighbor (there is a vertex z such that xz and yz are both edges). Prove that G has at least 2 n/2 2  pairs of vertices which are amicable.","In a tournament with $13$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",8192
158,Combinatorics,40M,"IMO 2017, P3","A hunter and an invisible rabbit play a game in the Euclidean plane. The rabbit's starting point, $A_0$, and the hunter's starting point, $B_0$ are the same. After n - 1 rounds of the game, the rabbit is at point An-1 and the hunter is at point $B_n-1$. In the n th round of the game, three things occur in order: - The rabbit moves invisibly to a point An such that the distance between An-1 and An is exactly 1. - A tracking device reports a point $P_n$ to the hunter. The only guarantee provided by the tracking device to the hunter is that the distance between $P_n$ and An is at most 1. - The hunter moves visibly to a point $B_n$ such that the distance between $B_n-1$ and $B_n$ is exactly 1. Is it always possible, no matter how the rabbit moves, and no matter what points are reported by the tracking device, for the hunter to choose her moves so that after 109 rounds, she can ensure that the distance between her and the rabbit is at most 100?","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
159,Combinatorics,40M,"IMO 2019, P3","A social network has 2019 users, some pairs of whom are friends. Whenever user A is friends with user B, user B is also friends with user A. Events of the following kind may happen repeatedly, one at a time: Three users A, B, and C such that A is friends with both B and C, but B and C are not friends, change their friendship statuses such that B and C are now friends, but A is no longer friends with B, and no longer friends with C. All other friendship statuses are unchanged. Initially, 1010 users have 1009 friends each, and 1009 users have 1010 friends each. Prove that there exists a sequence of such events after which each user is friends with at most one other user.",How many ways to distribute $9$ identical balls into $3$ distinct boxes?,729
160,Combinatorics,40M,"IMO 2020, P3","There are 4n pebbles of weights 1, 2, 3, $\ldots$ , 4n. Each pebble is coloured in one of n colours and there are four pebbles of each colour. Show that we can arrange the pebbles into two piles so that the following two conditions are both satisfied: - The total weights of both piles are the same. - Each pile contains two pebbles of each colour.",In how many ways can $9$ men and $2$ women be seated around a circular table such that no two women are adjacent?,2592
161,Combinatorics,40M,USAMO 2008 P6,"At a certain mathematical conference, every pair of math￾ematicians are either friends or strangers. At mealtime, every participant eats in one of two large dining rooms. Each mathematician insists upon eating in a room which contains an even number of his or her friends. Prove that the number of ways that the mathematicians may be split between the two rooms is a power of two (i.e., is of the form 2 k for some positive integer k).",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
162,Combinatorics,40M,USAMO 2017 P2,"Let $m_1$, $m_2$, $\ldots$ , $m_n$ be a collection of n positive integers, not necessarily distinct. For any sequence of integers A $=$ ($a_1$, $\ldots$ , $a_n$) and any permutation w $=$ $w_1$, $\ldots$ , $w_n$ of $m_1$, $\ldots$ , $m_n$, define an A-inversion of w to be a pair of entries $w_i$ , $w_j$ with i $<$ j for which one of the following conditions holds: - $a_i$ $\ge$ $w_i$ $>$ $w_j$ - $w_j$ $>$ $a_i$ $\ge$ $w_i$ , or - $w_i$ $>$ $w_j$ $>$ $a_i$ . Show that, for any two sequences of integers A $=$ ($a_1$, $\ldots$ , $a_n$) and B $=$ ($b_1$, $\ldots$ , $b_n$), and for any positive integer k, the number of permutations of $m_1$, $\ldots$ , $m_n$ having exactly k A-inversions is equal to the number of permu￾tations of $m_1$, $\ldots$ , $m_n$ having exactly k B-inversions.","In a tournament with $10$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",1024
163,Combinatorics,45M,"IMO 2006, P6",Assign to each side b of a convex polygon P the maximum area of a triangle that has b as a side and is contained in P. Show that the sum of the areas assigned to the sides of P is at least twice the area of P.,"How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
164,Combinatorics,45M,"IMO 2009, P6","Let $a_1$, $a_2$, $\ldots$ , $a_n$ be distinct positive integers and let M be a set of n - 1 positive integers not containing s $=$ $a_1$ + $a_2$ + $\ldots$ + an. 40 A grasshopper is to jump along the real axis, starting at the point 0 and making n jumps to the right with lengths $a_1$, $a_2$, $\ldots$ , $a_n$ in some order. Prove that the order can be chosen in such a way that the grasshopper never lands on any point in M.",How many ways to distribute $9$ identical balls into $5$ distinct boxes?,59049
165,Combinatorics,45M,"IMO 2011, P2","Let S be a finite set of at least two points in the plane. Assume that no three points of S are collinear. A windmill is a process that starts with a line ` going through a single point P $\in$ S. The line rotates clockwise about the pivot P until the first time that the line meets some other point belonging to S. This point, Q, takes over as the new pivot, and the line now rotates clockwise about Q, until it next meets a point of S. This process continues indefinitely. Show that we can choose a point P in S and a line ` going through P such that the resulting windmill uses each point of S as a pivot infinitely many times.",In how many ways can $8$ men and $3$ women be seated around a circular table such that no two women are adjacent?,96768
166,Combinatorics,45M,"IMO 2012, P3","The liar's guessing game is a game played between two players A and B. The rules of the game depend on two positive integers k and n which are known to both players. At the start of the game A chooses integers x and N with 1 $\le$ x $\le$ N. Player A keeps x secret, and truthfully tells N to player B. Player B now tries to obtain information about x by asking player A questions as follows: each question consists of B specifying an arbitrary set S of positive integers (possibly one specified in some previous question), and asking A whether x belongs to S. Player B may ask as many questions as he wishes. After each question, player A must immediately answer it with yes or no, but is allowed to lie as many times as she wants; the only restriction is that, among any k + 1 consecutive answers, at least one answer must be truthful. After B has asked as many questions as he wants, he must specify a set $\sum$ of at most n positive integers. If x belongs to $\sum$, then B wins; otherwise, he loses. Prove that: 1. If n $\ge$ 2 k , then B can guarantee a win. 2. For all sufficiently large k, there exists an integer n $\ge$ (1.99)k such that B cannot guarantee a win.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
167,Combinatorics,45M,"IMO 2013, P6","Let n $\ge$ 3 be an integer, and consider a circle with n + 1 equally spaced points marked on it. Consider all labellings of these points 41 with the numbers 0, 1, $\ldots$ , n such that each label is used exactly once; two such labellings are considered to be the same if one can be obtained from the other by a rotation of the circle. A labelling is called beautiful if, for any four labels a $<$ b $<$ c $<$ d with a+d $=$ b+c, the chord joining the points labelled a and d does not intersect the chord joining the points labelled b and c. Let M be the number of beautiful labelings, and let N be the number of ordered pairs (x, y) of positive integers such that x+y $\le$ n and gcd(x, y) $=$ 1. Prove that M $=$ N + 1.","In a tournament with $15$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",32768
168,Combinatorics,45M,"IMO 2018, P3","An anti-Pascal triangle is an equilateral triangular array of numbers such that, except for the numbers in the bottom row, each number is the absolute value of the difference of the two numbers immediately below it. For example, the following is an anti-Pascal triangle with four rows which contains every integer from 1 to 10. 4 2 6 5 7 1 8 3 10 9 Does there exist an anti-Pascal triangle with 2018 rows which contains every integer from 1 to 1 + 2 + 3 + $\cdots$ + 2018?","How many subsets of $\{1, 2, \ldots, 18\}$ contain no two consecutive integers?",324
169,Combinatorics,45M,USAMO 2009 P3,"We define a chessboard polygon to be a polygon whose sides are situated along lines of the form x $=$ a or y $=$ b, where a and b are integers. These lines divide the interior into unit squares, which are shaded alternately grey and white so that adjacent squares have different colors. To tile a chessboard polygon by dominoes is to exactly cover the polygon by non-overlapping $1\times_2$ rectangles. Finally, a tasteful tiling is one which avoids the two configurations of dominoes shown on the left below. Two tilings of $a^3$ $\times$ 4 rectangle are shown; the first one is tasteful, while the second is not, due to the vertical dominoes in the upper right corner. 42 a) Prove that if a chessboard polygon can be tiled by dominoes, then it can be done so tastefully. b) Prove that such a tasteful tiling is unique.",How many ways to distribute $9$ identical balls into $4$ distinct boxes?,6561
170,Combinatorics,45M,USAMO 2010 P6,"A blackboard contains 68 pairs of nonzero integers. Sup￾pose that for each positive integer k at most one of the pairs (k, k) and (-k, -k) is written on the blackboard. A student erases some of the 136 integers, subject to the condition that no two erased integers may add to 0. The student then scores one point for each of the 68 pairs in which at least one integer is erased. Determine, with proof, the largest number N of points that the student can guarantee to score regardless of which 68 pairs have been written on the board.",In how many ways can $7$ men and $4$ women be seated around a circular table such that no two women are adjacent?,87972
171,Combinatorics,45M,USAMO 2018 P6,"Let an be the number of permutations ($x_1$, $x_2$, $\ldots$ , $x_n$) of the numbers (1, 2, $\ldots$ , n) such that the n ratios $x_k$ k for 1 $\le$ k $\le$ n are all distinct. Prove that an is odd for all n $\ge$ 1.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
172,Combinatorics,45M,"USA TST 2018, P3","At a university dinner, there are 2017 mathematicians who each order two distinct entrées, with no two mathematicians ordering the same pair of entrées. The cost of each entrée is equal to the number of mathematicians who ordered it, and the university pays for each mathemati￾cian's less expensive entrée (ties broken arbitrarily). Over all possible sets of orders, what is the maximum total amount the university could have paid?","In a tournament with $12$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",4096
173,Combinatorics,45M,"USA TST 2018, P6","Alice and Bob play a game. First, Alice secretly picks a finite set S of lattice points in the Cartesian plane. Then, for every line ` in the plane which is horizontal, vertical, or has slope +1 or -1, she tells Bob the number of points of S that lie on `. Bob wins if he can determine the set S. Prove that if Alice picks S to be of the form S $=$ {(x, y) $\in$ $Z^2$ | m $\le$ $x^2$ + $y^2$ $\le$ n} for some positive integers m and n, then Bob can win. (Bob does not know in advance that S is of this form.)","How many subsets of $\{1, 2, \ldots, 13\}$ contain no two consecutive integers?",169
174,Combinatorics,45M,"USA TST 2020, P3","Let $\alpha$ $\ge$ 1 be a real number. Hephaestus and Poseidon play a turn-based game on an infinite grid of unit squares. Before the game starts, Poseidon chooses a finite number of cells to be flooded. Hephaestus is building a levee, which is a subset of unit edges of the grid (called walls) forming a connected, non-self-intersecting path or loop*. The game then begins with Hephaestus moving first. On each of Hephaestus's turns, he adds one or more walls to the levee, as long as the total length of the levee is at most $\alphan$ after his nth turn. On each of Poseidon's turns, every cell which is adjacent to an already flooded cell and with no wall between them becomes flooded as well. Hephaestus wins if the levee forms a closed loop such that all flooded cells are contained in the interior of the loop - hence stopping the flood and saving the world. For which $\alpha$ can Hephaestus guarantee victory in a finite number of turns no matter how Poseidon chooses the initial cells to flood? * More formally, there must exist lattice points $A_0$, $A_1$, $\ldots$ , $A_k$, pairwise distinct except possibly $A_0$ $=$ $A_k$, such that the set of walls is exactly $A_0A_1$, $A_1A_2$, $\ldots$ , $A_k-1Ak$. Once a wall is built it cannot be destroyed; in particular, if the levee is a closed loop (i.e. $A_0$ $=$ $A_k$) then Hephaestus can￾not add more walls. Since each wall has length 1, the length of the levee is k.",How many ways to distribute $9$ identical balls into $3$ distinct boxes?,729
175,Combinatorics,45M,"USA TSTST 2018, P9","Show that there is an absolute constant c $<$ 1 with the following property: whenever P is a polygon with area 1 in the plane, one can translate it by a distance of 1 100 in some direction to obtain a polygon Q, for which the intersection of the interiors of P and Q has total area at most c.",In how many ways can $6$ men and $5$ women be seated around a circular table such that no two women are adjacent?,1215
176,Combinatorics,45M,"USA TSTST 2019, P3","On an infinite square grid we place finitely many cars, which each occupy a single cell and face in one of the four cardinal directions. Cars may never occupy the same cell. It is given that the cell immediately in front of each car is empty, and moreover no two cars face towards each other (no right-facing car is to the left of a left-facing car within a row, etc.). In a move, one chooses a car and shifts it one cell forward to a vacant cell. Prove that there exists an infinite sequence of valid moves using each car infinitely many times.",How many ways to tile a $2 \times 8$ rectangle with $1 \times 2$ dominoes?,81
177,Combinatorics,50M,"IMO 2007, P3","In a mathematical competition some competitors are friends. Friendship is always mutual. Call a group of competitors a clique if each two of them are friends. (In particular, any group of fewer than two competitiors is a clique.) The number of members of a clique is called its size. Given that, in this competition, the largest size of a clique is even, prove that the competitors can be arranged into two rooms such that the largest size of a clique contained in one room is the same as the largest size of a clique contained in the other room.","In a tournament with $9$ teams, how many different possible outcomes (who beats whom) exist if there are no cycles of length 3?",512
