id,subject,mohs,source,original,original_latex
82,Combinatorics,40M,USAMO 2017 P2,"Let m ,m ,...,m be a collection of n positive integers, 1 2 n not necessarily distinct. For any sequence of integers A = (a ,...,a ) and 1 n any permutation w = w ,...,w of m ,...,m , define an A-inversion of 1 n_1 n w to be a pair of entries w ,w with i < j for which one of the following i j conditions holds: • a \ge w > w i i j • w > a \ge w , or j i i • w > w > a . i j i Show that, for any two sequences of integers A = (a ,...,a ) and B = 1 n (b ,...,b ), and for any positive integer k, the number of permutations of 1 n m ,...,m having exactly k A-inversions is equal to the number of permu- 1 n tations of m ,...,m having exactly k B-inversions. 1 n","Let m ,m ,\\ldots,m be a collection of n positive integers, 1 2 n not necessarily distinct. For any sequence of integers A = (a ,\\ldots,a ) and 1 n any permutation w = w ,\\ldots,w of m ,\\ldots,m , define an A-inversion of 1 n_1 n w to be a pair of entries w ,w with i < j for which one of the following i j conditions holds: • a \ge w > w i i j • w > a \ge w , or j i i • w > w > a . i j i Show that, for any two sequences of integers A = (a ,\\ldots,a ) and B = 1 n (b ,\\ldots,b ), and for any positive integer k, the number of permutations of 1 n m ,\\ldots,m having exactly k A-inversions is equal to the number of permu- 1 n tations of m ,\\ldots,m having exactly k B-inversions. 1 n"
83,Combinatorics,45M,"IMO 2006, P6",Assign to each side b of a convex polygon P the maximum area of a triangle that has b as a side and is contained in P. Show that the sum of the areas assigned to the sides of P is at least twice the area of P.,Assign to each side b of a convex polygon P the maximum area of a triangle that has b as a side and is contained in P. Show that the sum of the areas assigned to the sides of P is at least twice the area of P.
84,Combinatorics,45M,"IMO 2009, P6","Let a ,a ,...,a be distinct positive integers and let M_1 2 n be a set of n - 1 positive integers not containing s = a + a + ... + a . 1 2 n 40 A grasshopper is to jump along the real axis, starting at the point 0 and making n jumps to the right with lengths a ,a ,...,a in some order. Prove 1 2 n that the order can be chosen in such a way that the grasshopper never lands on any point in M.","Let a ,a ,\\ldots,a be distinct positive integers and let M_1 2 n be a set of n - 1 positive integers not containing s = a + a + \\ldots + a . 1 2 n 40 A grasshopper is to jump along the real axis, starting at the point 0 and making n jumps to the right with lengths a ,a ,\\ldots,a in some order. Prove 1 2 n that the order can be chosen in such a way that the grasshopper never lands on any point in M."
85,Combinatorics,45M,"IMO 2011, P2","Let S be a finite set of at least two points in the plane. Assume that no three points of S are collinear. A windmill is a process that starts with a line \ell going through a single point P \in S. The line rotates clockwise about the pivot P until the first time that the line meets some other point belonging to S. This point, Q, takes over as the new pivot, and the line now rotates clockwise about Q, until it next meets a point of S. This process continues indefinitely. Show that we can choose a point P in S and a line \ell going through P such that the resulting windmill uses each point of S as a pivot infinitely many times.","Let S be a finite set of at least two points in the plane. Assume that no three points of S are collinear. A windmill is a process that starts with a line \ell going through a single point P \in S. The line rotates clockwise about the pivot P until the first time that the line meets some other point belonging to S. This point, \mathbb{Q}, takes over as the new pivot, and the line now rotates clockwise about \mathbb{Q}, until it next meets a point of S. This process continues indefinitely. Show that we can choose a point P in S and a line \ell going through P such that the resulting windmill uses each point of S as a pivot infinitely many times."
86,Combinatorics,45M,"IMO 2012, P3","The liar’s guessing game is a game played between two players A and B. The rules of the game depend on two positive integers k and n which are known to both players. At the start of the game A chooses integers x and N with 1 \le x \le N. Player A keeps x secret, and truthfully tells N to player B. Player B now tries to obtain information about x by asking player A questions as follows: each question consists of B specifying an arbitrary set S of positive integers (possibly one specified in some previous question), and asking A whether x belongs to S. Player B may ask as many questions as he wishes. After each question, player A must immediately answer it with yes or no, but is allowed to lie as many times as she wants; the only restriction is that, among any k + 1 consecutive answers, at least one answer must be truthful. After B has asked as many questions as he wants, he must specify a set X of at most n positive integers. If x belongs to X, then B wins; otherwise, he loses. Prove that: 1. If n \ge 2k, then B can guarantee a win. 2. For all sufficiently large k, there exists an integer n \ge (1.99)k such that B cannot guarantee a win.","The liar’s guessing game is a game played between two players A and B. The rules of the game depend on two positive integers k and n which are known to both players. At the start of the game A chooses integers x and \mathbb{N} with 1 \le x \le \mathbb{N}. Player A keeps x secret, and truthfully tells \mathbb{N} to player B. Player B now tries to obtain information about x by asking player A questions as follows: each question consists of B specifying an arbitrary set S of positive integers (possibly one specified in some previous question), and asking A whether x belongs to S. Player B may ask as many questions as he wishes. After each question, player A must immediately answer it with yes or no, but is allowed to lie as many times as she wants; the only restriction is that, among any k + 1 consecutive answers, at least one answer must be truthful. After B has asked as many questions as he wants, he must specify a set X of at most n positive integers. If x belongs to X, then B wins; otherwise, he loses. Prove that: 1. If n \ge 2k, then B can guarantee a win. 2. For all sufficiently large k, there exists an integer n \ge (1.99)k such that B cannot guarantee a win."
87,Combinatorics,45M,"IMO 2013, P6","Let n \ge 3 be an integer, and consider a circle with n + 1 equally spaced points marked on it. Consider all labellings of these points 41 with the numbers 0,1,...,n such that each label is used exactly once; two such labellings are considered to be the same if one can be obtained from the other by a rotation of the circle. A labelling is called beautiful if, for any four labels a < b < c < d with a+d = b+c, the chord joining the points labelled a and d does not intersect the chord joining the points labelled b and c. Let M be the number of beautiful labelings, and let N be the number of ordered pairs (x,y) of positive integers such that x+y \le n and gcd(x,y) = 1. Prove that M = N + 1.","Let n \ge 3 be an integer, and consider a circle with n + 1 equally spaced points marked on it. Consider all labellings of these points 41 with the numbers 0,1,\\ldots,n such that each label is used exactly once; two such labellings are considered to be the same if one can be obtained from the other by a rotation of the circle. A labelling is called beautiful if, for any four labels a < b < c < d with a+d = b+c, the chord joining the points labelled a and d does not intersect the chord joining the points labelled b and c. Let M be the number of beautiful labelings, and let \mathbb{N} be the number of ordered pairs (x,y) of positive integers such that x+y \le n and gcd(x,y) = 1. Prove that M = \mathbb{N} + 1."
88,Combinatorics,45M,"IMO 2018, P3","An anti-Pascal triangle is an equilateral triangular array of numbers such that, except for the numbers in the bottom row, each number is the absolute value of the difference of the two numbers immediately below it. For example, the following is an anti-Pascal triangle with four rows which contains every integer from 1 to 10. 4 2 6 5 7 1 8 3 10 9 Does there exist an anti-Pascal triangle with 2018 rows which contains every integer from 1 to 1 + 2 + 3 + \cdot\cdot\cdot + 2018?","An anti-Pascal triangle is an equilateral triangular array of numbers such that, except for the numbers in the bottom row, each number is the absolute value of the difference of the two numbers immediately below it. For example, the following is an anti-Pascal triangle with four rows which contains every integer from 1 to 10. 4 2 6 5 7 1 8 3 10 9 Does there exist an anti-Pascal triangle with 2018 rows which contains every integer from 1 to 1 + 2 + 3 + \cdot\cdot\cdot + 2018?"
89,Combinatorics,45M,USAMO 2009 P3,"We define a chessboard polygon to be a polygon whose sides are situated along lines of the form x = a or y = b, where a and b are integers. These lines divide the interior into unit squares, which are shaded alternately grey and white so that adjacent squares have different colors. To tile a chessboard polygon by dominoes is to exactly cover the polygon by non-overlapping 1×2 rectangles. Finally, a tasteful tiling is one which avoids the two configurations of dominoes shown on the left below. Two tilings of a_3×4 rectangle are shown; the first one is tasteful, while the second is not, due to the vertical dominoes in the upper right corner. 42 a) Prove that if a chessboard polygon can be tiled by dominoes, then it can be done so tastefully. b) Prove that such a tasteful tiling is unique.","We define a chessboard polygon to be a polygon whose sides are situated along lines of the form x = a or y = b, where a and b are integers. These lines divide the interior into unit squares, which are shaded alternately grey and white so that adjacent squares have different colors. To tile a chessboard polygon by dominoes is to exactly cover the polygon by non-overlapping 1×2 rectangles. Finally, a tasteful tiling is one which avoids the two configurations of dominoes shown on the left below. Two tilings of a_3×4 rectangle are shown; the first one is tasteful, while the second is not, due to the vertical dominoes in the upper right corner. 42 a) Prove that if a chessboard polygon can be tiled by dominoes, then it can be done so tastefully. b) Prove that such a tasteful tiling is unique."
90,Combinatorics,45M,USAMO 2010 P6,"A blackboard contains 68 pairs of nonzero integers. Sup- pose that for each positive integer k at most one of the pairs (k,k) and (-k,-k) is written on the blackboard. A student erases some of the 136 integers, subject to the condition that no two erased integers may add to 0. The student then scores one point for each of the 68 pairs in which at least one integer is erased. Determine, with proof, the largest number N of points that the student can guarantee to score regardless of which 68 pairs have been written on the board.","A blackboard contains 68 pairs of nonzero integers. Sup- pose that for each positive integer k at most one of the pairs (k,k) and (-k,-k) is written on the blackboard. A student erases some of the 136 integers, subject to the condition that no two erased integers may add to 0. The student then scores one point for each of the 68 pairs in which at least one integer is erased. Determine, with proof, the largest number \mathbb{N} of points that the student can guarantee to score regardless of which 68 pairs have been written on the board."
91,Combinatorics,45M,USAMO 2018 P6,"Let a be the number of permutations (x ,x ,...,x ) n_1 2 n of the numbers (1,2,...,n) such that the n ratios x k for 1 \le k \le n are all k distinct. Prove that a is odd for all n \ge 1. n","Let a be the number of permutations (x ,x ,\\ldots,x ) n_1 2 n of the numbers (1,2,\\ldots,n) such that the n ratios x k for 1 \le k \le n are all k distinct. Prove that a is odd for all n \ge 1. n"
92,Combinatorics,45M,"USA TST 2018, P3","At a university dinner, there are 2017 mathematicians who each order two distinct entrées, with no two mathematicians ordering the same pair of entrées. The cost of each entrée is equal to the number of mathematicians who ordered it, and the university pays for each mathemati- cian’s less expensive entrée (ties broken arbitrarily). Over all possible sets of orders, what is the maximum total amount the university could have paid?","At a university dinner, there are 2017 mathematicians who each order two distinct entrées, with no two mathematicians ordering the same pair of entrées. The cost of each entrée is equal to the number of mathematicians who ordered it, and the university pays for each mathemati- cian’s less expensive entrée (ties broken arbitrarily). Over all possible sets of orders, what is the maximum total amount the university could have paid?"
93,Combinatorics,45M,"USA TST 2018, P6","Alice and Bob play a game. First, Alice secretly picks a finite set S of lattice points in the Cartesian plane. Then, for every line \ell in the plane which is horizontal, vertical, or has slope +1 or -1, she tells Bob the number of points of S that lie on \ell. Bob wins if he can determine the set S. Prove that if Alice picks S to be of the form S = {(x,y) \in Z2 | m \le x2 + y2 \le n} for some positive integers m and n, then Bob can win. (Bob does not know in advance that S is of this form.)","Alice and Bob play a game. First, Alice secretly picks a finite set S of lattice points in the Cartesian plane. Then, for every line \ell in the plane which is horizontal, vertical, or has slope +1 or -1, she tells Bob the number of points of S that lie on \ell. Bob wins if he can determine the set S. Prove that if Alice picks S to be of the form S = {(x,y) \in Z2 | m \le x2 + y2 \le n} for some positive integers m and n, then Bob can win. (Bob does not know in advance that S is of this form.)"
94,Combinatorics,45M,"USA TST 2020, P3","Let α \ge 1 be a real number. Hephaestus and Poseidon play a turn-based game on an infinite grid of unit squares. Before the game starts, Poseidon chooses a finite number of cells to be flooded. Hephaestus is building a levee, which is a subset of unit edges of the grid (called walls) forming a connected, non-self-intersecting path or loop*. The game then begins with Hephaestus moving first. On each of Hephaestus’s turns, he adds one or more walls to the levee, as long as the total length of the levee is at most αn after his nth turn. On each of Poseidon’s turns, every cell which is adjacent to an already flooded cell and with no wall between them becomes flooded as well. Hephaestus wins if the levee forms a closed loop such that all flooded cells are contained in the interior of the loop — hence stopping the flood and saving the world. For which α can Hephaestus guarantee victory in a finite number of turns no matter how Poseidon chooses the initial cells to flood? * More formally, there must exist lattice points A ,A ,...,A , pairwise 0 1 k distinct except possibly A = A , such that the set of walls is exactly 0 k A A ,A A ,...,A A . Once a wall is built it cannot be destroyed; in 0 1 1 2 k-1 k particular, if the levee is a closed loop (i.e. A = A ) then Hephaestus can- 0 k not add more walls. Since each wall has length 1, the length of the levee is k.","Let α \ge 1 be a real number. Hephaestus and Poseidon play a turn-based game on an infinite grid of unit squares. Before the game starts, Poseidon chooses a finite number of cells to be flooded. Hephaestus is building a levee, which is a subset of unit edges of the grid (called walls) forming a connected, non-self-intersecting path or loop*. The game then begins with Hephaestus moving first. On each of Hephaestus’s turns, he adds one or more walls to the levee, as long as the total length of the levee is at most αn after his nth turn. On each of Poseidon’s turns, every cell which is adjacent to an already flooded cell and with no wall between them becomes flooded as well. Hephaestus wins if the levee forms a closed loop such that all flooded cells are contained in the interior of the loop — hence stopping the flood and saving the world. For which α can Hephaestus guarantee victory in a finite number of turns no matter how Poseidon chooses the initial cells to flood? * More formally, there must exist lattice points A ,A ,\\ldots,A , pairwise 0 1 k distinct except possibly A = A , such that the set of walls is exactly 0 k A A ,A A ,\\ldots,A A . Once a wall is built it cannot be destroyed; in 0 1 1 2 k-1 k particular, if the levee is a closed loop (i.e. A = A ) then Hephaestus can- 0 k not add more walls. Since each wall has length 1, the length of the levee is k."
95,Combinatorics,45M,"USA TSTST 2018, P9","Show that there is an absolute constant c < 1 with the following property: whenever P is a polygon with area 1 in the plane, one can translate it by a distance of 1 in some direction to obtain a polygon 100 Q, for which the intersection of the interiors of P and Q has total area at most c.","Show that there is an absolute constant c < 1 with the following property: whenever P is a polygon with area 1 in the plane, one can translate it by a distance of 1 in some direction to obtain a polygon 100 \mathbb{Q}, for which the intersection of the interiors of P and \mathbb{Q} has total area at most c."
96,Combinatorics,45M,"USA TSTST 2019, P3","On an infinite square grid we place finitely many cars, which each occupy a single cell and face in one of the four cardinal directions. Cars may never occupy the same cell. It is given that the cell immediately in front of each car is empty, and moreover no two cars face towards each other (no right-facing car is to the left of a left-facing car within a row, etc.). In a move, one chooses a car and shifts it one cell forward to a vacant cell. Prove that there exists an infinite sequence of valid moves using each car infinitely many times.","On an infinite square grid we place finitely many cars, which each occupy a single cell and face in one of the four cardinal directions. Cars may never occupy the same cell. It is given that the cell immediately in front of each car is empty, and moreover no two cars face towards each other (no right-facing car is to the left of a left-facing car within a row, etc.). In a move, one chooses a car and shifts it one cell forward to a vacant cell. Prove that there exists an infinite sequence of valid moves using each car infinitely many times."
97,Combinatorics,50M,"IMO 2007, P3","In a mathematical competition some competitors are friends. Friendship is always mutual. Call a group of competitors a clique if each two of them are friends. (In particular, any group of fewer than two competitiors is a clique.) The number of members of a clique is called its size. Given that, in this competition, the largest size of a clique is even, prove that the competitors can be arranged into two rooms such that the largest size of a clique contained in one room is the same as the largest size of a clique contained in the other room.","In a mathematical competition some competitors are friends. Friendship is always mutual. Call a group of competitors a clique if each two of them are friends. (In particular, any group of fewer than two competitiors is a clique.) The number of members of a clique is called its size. Given that, in this competition, the largest size of a clique is even, prove that the competitors can be arranged into two rooms such that the largest size of a clique contained in one room is the same as the largest size of a clique contained in the other room."
98,Combinatorics,50M,"IMO 2020, P6","Prove that there exists a positive constant c such that the following statement is true: Consider an integer n > 1, and a set S of n points in the plane such that the distance between any two different points in S is at least 1. It follows that there is a line \ell separating S such that the distance from any point of S to \ell is at least cn-1/3. (A line \ell separates a set of points S if some segment joining two points in S crosses \ell.) Note. Weaker results with cn-1/3 replaced by cn-α may be awarded points depending on the value of the constant α > 1/3.","Prove that there exists a positive constant c such that the following statement is true: Consider an integer n > 1, and a set S of n points in the plane such that the distance between any two different points in S is at least 1. It follows that there is a line \ell separating S such that the distance from any point of S to \ell is at least cn-1/3. (A line \ell separates a set of points S if some segment joining two points in S crosses \ell.) Note. Weaker results with cn-1/3 replaced by cn-α may be awarded points depending on the value of the constant α > 1/3."
99,Combinatorics,50M,USAMO 2013 P3,"Let n be a positive integer. There are n(n+1) marks, each 2 with a black side and a white side, arranged into an equilateral triangle, with the biggest row containing n marks. Initially, each mark has the black side up. An operation is to choose a line parallel to the sides of the triangle, and flipping all the marks on that line. A configuration is called admissible if it can be obtained from the initial configuration by performing a finite num- ber of operations. For each admissible configuration C, let f(C) denote the smallest number of operations required to obtain C from the initial configu- ration. Find the maximum value of f(C), where C varies over all admissible configurations.","Let n be a positive integer. There are n(n+1) marks, each 2 with a black side and a white side, arranged into an equilateral triangle, with the biggest row containing n marks. Initially, each mark has the black side up. An operation is to choose a line parallel to the sides of the triangle, and flipping all the marks on that line. A configuration is called admissible if it can be obtained from the initial configuration by performing a finite num- ber of operations. For each admissible configuration C, let f(C) denote the smallest number of operations required to obtain C from the initial configu- ration. Find the maximum value of f(C), where C varies over all admissible configurations."
100,Combinatorics,50M,USAMO 2017 P5,"Let Z denote the set of all integers. Find all real numbers c > 0 such that there exists a labeling of the lattice points (x,y) \in Z2 with positive integers for which: • only finitely many distinct labels occur, and 45 • for each label i, the distance between any two points labeled i is at least ci.","Let \mathbb{Z} denote the set of all integers. Find all real numbers c > 0 such that there exists a labeling of the lattice points (x,y) \in Z2 with positive integers for which: • only finitely many distinct labels occur, and 45 • for each label i, the distance between any two points labeled i is at least ci."
101,Combinatorics,50M,"USA TST 2019, P3","A snake of length k is an animal which occupies an ordered k-tuple (s ,...,s ) of cells in a n × n grid of square unit cells. 1 k These cells must be pairwise distinct, and s and s must share a side i i+1 for i = 1,...,k - 1. If the snake is currently occupying (s ,...,s ) and 1 k s is an unoccupied cell sharing a side with s , the snake can move to oc- 1 cupy (s,s ,...,s ) instead. The snake has turned around if it occupied 1 k-1 (s ,s ,...,s ) at the beginning, but after a finite number of moves occupies 1 2 k (s ,s ,...,s ) instead. k k-1 1 Determine whether there exists an integer n > 1 such that: one can place some snake of length 0.9n2 in an n × n grid which can turn around.","A snake of length k is an animal which occupies an ordered k-tuple (s ,\\ldots,s ) of cells in a n × n grid of square unit cells. 1 k These cells must be pairwise distinct, and s and s must share a side i i+1 for i = 1,\\ldots,k - 1. If the snake is currently occupying (s ,\\ldots,s ) and 1 k s is an unoccupied cell sharing a side with s , the snake can move to oc- 1 cupy (s,s ,\\ldots,s ) instead. The snake has turned around if it occupied 1 k-1 (s ,s ,\\ldots,s ) at the beginning, but after a finite number of moves occupies 1 2 k (s ,s ,\\ldots,s ) instead. k k-1 1 Determine whether there exists an integer n > 1 such that: one can place some snake of length 0.9n2 in an n × n grid which can turn around."
102,Combinatorics,55M,"USA TSTST 2015, P6","A Nim-style game is defined as follows. Two positive integers k and n are specified, along with a finite set S of k-tuples of integers (not necessarily positive). At the start of the game, the k-tuple (n,0,0,...,0) is written on the blackboard. A legal move consists of erasing the tuple (a ,a ,...,a ) which is written on the blackboard and replacing it with (a + 1 2 k_1 b ,a + b ,...,a + b ), where (b ,b ,...,b ) is an element of the set S. Two 1 2 2 k k_1 2 k players take turns making legal moves, and the first to write a negative integer loses. In the event that neither player is ever forced to write a negative integer, the game is a draw. Prove that there is a choice of k and S with the following property: the first player has a winning strategy if n is a power of 2, and otherwise the second player has a winning strategy.","A Nim-style game is defined as follows. Two positive integers k and n are specified, along with a finite set S of k-tuples of integers (not necessarily positive). At the start of the game, the k-tuple (n,0,0,\\ldots,0) is written on the blackboard. A legal move consists of erasing the tuple (a ,a ,\\ldots,a ) which is written on the blackboard and replacing it with (a + 1 2 k_1 b ,a + b ,\\ldots,a + b ), where (b ,b ,\\ldots,b ) is an element of the set S. Two 1 2 2 k k_1 2 k players take turns making legal moves, and the first to write a negative integer loses. In the event that neither player is ever forced to write a negative integer, the game is a draw. Prove that there is a choice of k and S with the following property: the first player has a winning strategy if n is a power of 2, and otherwise the second player has a winning strategy."
1,Geometry,5M,"IMO 2004, P1",Let ABC be an acute-angled triangle with AB \neq= AC. The circle with diameter BC intersects the sides AB and AC at M and N respectively. Denote by O the midpoint of the side BC. The bisectors of the angles \angleBAC and \angleMON intersect at R. Prove that the circumcircles of the triangles BMR and CNR have a common point lying on the side BC.,Let ABC be an acute-angled triangle with AB \neq= AC. The circle with diameter BC intersects the sides AB and AC at M and \mathbb{N} respectively. Denote by O the midpoint of the side BC. The bisectors of the angles \angleBAC and \angleMON intersect at \mathbb{R}. Prove that the circumcircles of the triangles BMR and CNR have a common point lying on the side BC.
2,Geometry,5M,"IMO 2006, P1","Let ABC be triangle with incenter I. A point P in the interior of the triangle satisfies \anglePBA + \anglePCA = \anglePBC + \anglePCB. Show that AP \ge AI, and that equality holds if and only if P = I.","Let ABC be triangle with incenter I. A point P in the interior of the triangle satisfies \anglePBA + \anglePCA = \anglePBC + \anglePCB. Show that AP \ge AI, and that equality holds if and only if P = I."
3,Geometry,5M,"IMO 2007, P4","In triangle ABC the bisector of angle BCA intersects the circumcircle again at R, the perpendicular bisector of BC at P, and the perpendicular bisector of AC at Q. The midpoint of BC is K and the midpoint of AC is L. Prove that the triangles RPK and RQL have the same area.","In triangle ABC the bisector of angle BCA intersects the circumcircle again at \mathbb{R}, the perpendicular bisector of BC at P, and the perpendicular bisector of AC at \mathbb{Q}. The midpoint of BC is K and the midpoint of AC is L. Prove that the triangles RPK and RQL have the same area."
4,Geometry,5M,"IMO 2012, P1","Given triangle ABC the point J is the centre of the excircle opposite the vertex A. This excircle is tangent to the side BC at M, and to the lines AB and AC at K and L, respectively. The lines LM and BJ meet at F, and the lines KM and CJ meet at G. Let S be the point of intersection of the lines AF and BC, and let T be the point of intersection of the lines AG and BC. Prove that M is the midpoint of ST. (The excircle of ABC opposite the vertex A is the circle that is tangent to the line segment BC, to the ray AB beyond B, and to the ray AC beyond C.)","Given triangle ABC the point J is the centre of the excircle opposite the vertex A. This excircle is tangent to the side BC at M, and to the lines AB and AC at K and L, respectively. The lines LM and BJ meet at F, and the lines KM and CJ meet at G. Let S be the point of intersection of the lines AF and BC, and let T be the point of intersection of the lines AG and BC. Prove that M is the midpoint of ST. (The excircle of ABC opposite the vertex A is the circle that is tangent to the line segment BC, to the ray AB beyond B, and to the ray AC beyond C.)"
5,Geometry,5M,"IMO 2014, P4","Let P and Q be on segment BC of an acute triangle ABC such that \anglePAB = \angleBCA and \angleCAQ = \angleABC. Let M and N be the points on AP and AQ, respectively, such that P is the midpoint of AM and Q is the midpoint of AN. Prove that the intersection of BM and CN is on the circumference of triangle ABC.","Let P and \mathbb{Q} be on segment BC of an acute triangle ABC such that \anglePAB = \angleBCA and \angleCAQ = \angleABC. Let M and \mathbb{N} be the points on AP and AQ, respectively, such that P is the midpoint of AM and \mathbb{Q} is the midpoint of AN. Prove that the intersection of BM and CN is on the circumference of triangle ABC."
6,Geometry,5M,USAMO 2001 P4,"Let P be a point in the plane of triangle ABC such that the segments PA, PB, and PC are the sides of an obtuse triangle. Assume that in this triangle the obtuse angle opposes the side congruent to PA. Prove that \angleBAC is acute.","Let P be a point in the plane of triangle ABC such that the segments PA, PB, and PC are the sides of an obtuse triangle. Assume that in this triangle the obtuse angle opposes the side congruent to PA. Prove that \angleBAC is acute."
7,Geometry,5M,USAMO 2003 P4,"Let ABC be a triangle. A circle passing through A and B intersects segments AC and BC at D and E, respectively. Lines AB and DE intersect at F, while lines BD and CF intersect at M. Prove that MF = MC if and only if MB \cdot MD = MC2.","Let ABC be a triangle. A circle passing through A and B intersects segments AC and BC at D and E, respectively. Lines AB and DE intersect at F, while lines BD and CF intersect at M. Prove that MF = MC if and only if MB \cdot MD = MC2."
8,Geometry,5M,USAMO 2004 P1,"Let ABCD be a quadrilateral circumscribed about a circle, whose interior and exterior angles are at least 60 degrees. Prove that 1 |AB3 - AD3| \le |BC3 - CD3| \le 3|AB3 - AD3|. 3 When does equality hold?","Let ABCD be a quadrilateral circumscribed about a circle, whose interior and exterior angles are at least 60 degrees. Prove that 1 |AB3 - AD3| \le |BC3 - CD3| \le 3|AB3 - AD3|. 3 When does equality hold?"
9,Geometry,5M,USAMO 2010 P1,"Let AXY ZB be a convex pentagon inscribed in a semi- circle of diameter AB. Denote by P, Q, R, S the feet of the perpendiculars from Y onto lines AX, BX, AZ, BZ, respectively. Prove that the acute angle formed by lines PQ and RS is half the size of \angleXOZ, where O is the midpoint of segment AB.","Let AXY ZB be a convex pentagon inscribed in a semi- circle of diameter AB. Denote by P, \mathbb{Q}, \mathbb{R}, S the feet of the perpendiculars from Y onto lines AX, BX, AZ, BZ, respectively. Prove that the acute angle formed by lines PQ and RS is half the size of \angleXOZ, where O is the midpoint of segment AB."
10,Geometry,5M,USAMO 2010 P4,"Let ABC be a triangle with \angleA = 90^\circ. Points D and E lie on sides AC and AB, respectively, such that \angleABD = \angleDBC and \angleACE = \angleECB. Segments BD and CE meet at I. Determine whether or not it is possible for segments AB, AC, BI, ID, CI, IE to all have integer lengths.","Let ABC be a triangle with \angleA = 90^\circ. Points D and E lie on sides AC and AB, respectively, such that \angleABD = \angleDBC and \angleACE = \angleECB. Segments BD and CE meet at I. Determine whether or not it is possible for segments AB, AC, BI, ID, CI, IE to all have integer lengths."
11,Geometry,5M,USAMO 2020 P1,"Let ABC be a fixed acute triangle inscribed in a circle ω with center O. A variable point X is chosen on minor arc AB of ω, and segments CX and AB meet at D. Denote by O and O the circumcenters 1 2 of triangles ADX and BDX, respectively. Determine all points X for which the area of triangle OO O is minimized. 1 2","Let ABC be a fixed acute triangle inscribed in a circle ω with center O. A variable point X is chosen on minor arc AB of ω, and segments CX and AB meet at D. Denote by O and O the circumcenters 1 2 of triangles ADX and BDX, respectively. Determine all points X for which the area of triangle OO O is minimized. 1 2"
12,Geometry,10M,"IMO 2000, P1","Two circles G and G intersect at two points M and N. 1 2 Let AB be the line tangent to these circles at A and B, respectively, so that M lies closer to AB than N. Let CD be the line parallel to AB and passing through the point M, with C on G and D on G . Lines AC and BD meet 1 2 at E; lines AN and CD meet at P; lines BN and CD meet at Q. Show that EP = EQ.","Two circles G and G intersect at two points M and \mathbb{N}. 1 2 Let AB be the line tangent to these circles at A and B, respectively, so that M lies closer to AB than \mathbb{N}. Let CD be the line parallel to AB and passing through the point M, with C on G and D on G . Lines AC and BD meet 1 2 at E; lines AN and CD meet at P; lines BN and CD meet at \mathbb{Q}. Show that EP = EQ."
13,Geometry,10M,"IMO 2001, P1","Consider an acute-angled triangle ABC. Let P be the foot of the altitude of triangle ABC issuing from the vertex A, and let O be the circumcenter of triangle ABC. Assume that \angleC \ge \angleB + 30^\circ. Prove that \angleA + \angleCOP < 90^\circ.","Consider an acute-angled triangle ABC. Let P be the foot of the altitude of triangle ABC issuing from the vertex A, and let O be the circumcenter of triangle ABC. Assume that \angleC \ge \angleB + 30^\circ. Prove that \angleA + \angleCOP < 90^\circ."
14,Geometry,10M,"IMO 2002, P2","The circle S has center O, and BC is a diameter of S. Let A be a point of S such that \angleAOB < 120^\circ. Let D be the midpoint of the arc AB which does not contain C. The line through O parallel to DA meets the line AC at I. The perpendicular bisector of OA meets S at E and at F. Prove that I is the incentre of the triangle CEF.","The circle S has center O, and BC is a diameter of S. Let A be a point of S such that \angleAOB < 120^\circ. Let D be the midpoint of the arc AB which does not contain C. The line through O parallel to DA meets the line AC at I. The perpendicular bisector of OA meets S at E and at F. Prove that I is the incentre of the triangle CEF."
15,Geometry,10M,"IMO 2003, P4","Let ABCD be a cyclic quadrilateral. Let P, Q, R be the feet of the perpendiculars from D to the lines BC, CA, AB, respectively. Show that PQ = QR if and only if the bisectors of \angleABC and \angleADC are concurrent with AC.","Let ABCD be a cyclic quadrilateral. Let P, \mathbb{Q}, \mathbb{R} be the feet of the perpendiculars from D to the lines BC, CA, AB, respectively. Show that PQ = QR if and only if the bisectors of \angleABC and \angleADC are concurrent with AC."
16,Geometry,10M,"IMO 2008, P1","Let H be the orthocenter of an acute-angled triangle ABC. The circle Γ centered at the midpoint of BC and passing through H inter- A sects the sideline BC at points A and A . Similarly, define the points B , 1 2 1 B , C and C . 2 1 2 Prove that the six points A , A , B , B , C and C are concyclic. 1 2 1 2 1 2","Let H be the orthocenter of an acute-angled triangle ABC. The circle Γ centered at the midpoint of BC and passing through H inter- A sects the sideline BC at points A and A . Similarly, define the points B , 1 2 1 B , C and C . 2 1 2 Prove that the six points A , A , B , B , C and C are concyclic. 1 2 1 2 1 2"
17,Geometry,10M,"IMO 2010, P4","Let P be a point interior to triangle ABC (with CA \neq= CB). The lines AP, BP and CP meet again its circumcircle Γ at K, L, respectively M. The tangent line at C to Γ meets the line AB at S. Show that from SC = SP follows MK = ML.","Let P be a point interior to triangle ABC (with CA \neq= CB). The lines AP, BP and CP meet again its circumcircle Γ at K, L, respectively M. The tangent line at C to Γ meets the line AB at S. Show that from SC = SP follows MK = ML."
